Meanings,J Translation,English Definition,pronunciation,POS
manage,経営する；管理する,To run or operate a business by directing others,ˈmænəʤ,動詞(verb)
management,管理；経営,people who are in control of a business or group,ˈmænəʤmənt,名詞(n.)
manager,経営者；～長；マネージャー,person who controls and runs a business or group,ˈmænəʤər,名詞(n.)
many,多くの，多数,Used to refer a large number of things,ˈmɛni,限定詞(det.)
mark,印；記号；評価，印を付ける；成績を付ける,To make or leave a visible sign on something; a writing symbol,mɑrk,動詞(verb)
market,市場；マーケット,public event where people sell goods on tables,ˈmɑrkət,名詞(n.)
marriage,結婚,formal relationship between a husband and a wife,ˈmɛrɪʤ,名詞(n.)
marry,結婚する,To become the husband or wife of someone,ˈmɛri,動詞(verb)
master,"上達な,熟練な",being very skilled at doing something,ˈmæstər,形容詞(adj.)
matter,事柄；問題；原因,problem or reason for concern,ˈmætər,名詞(n.)
maybe,もしかすると；たぶん,Possibly but not certainly; perhaps,ˈmeɪbi,副詞(adv)
me,私を,Object form of the person now speaking or writing,mi,代名詞(pron.)
meal,食事,"food for eating at a particular time, e.g. dinner",mil,名詞(n.)
meet,会合する,To come together at a certain time or place,mit,動詞(verb)
member,一員；メンバー,person or thing belonging to a group or team,ˈmɛmbər,名詞(n.)
membership,会員；メンバーシップ,being a member of a group; joining a group,ˈmɛmbərˌʃɪp,名詞(n.)
mention,述べる；話に出す，言及する,To refer to or talk or write about something,ˈmɛnʃən,動詞(verb)
mess,混乱，散らかす；混乱させる,state of confusion and disorderliness,mɛs,名詞(n.)
middle,中心；中間，真ん中の；中央の,place that is halfway between two things,ˈmɪdəl,名詞(n.)
might,～かもしれない；～してもよい,used to express that something could happen,maɪt,助動詞(aux.)
mile,マイル,unit of distance; 1.6 kilometers,maɪl,名詞(n.)
milk,乳,white liquid produced by females to feed babies,mɪlk,名詞(n.)
million,百万,"1,000,000",ˈmɪljən,数詞(num.)
mind,心；精神,part of humans that allows us to think or feel,maɪnd,名詞(n.)
mine,私のもの,That thing that belongs to me,maɪn,代名詞(pron.)
minute,分；,unit of time equal to 60 seconds,ˈmɪnət,名詞(n.)
miss,逃す；～し損なう,to be too late to ride on something e.g. train or bus,mɪs,動詞(verb)
mistake,間違い,"something done wrong, calculated wrong, etc; error",mɪsˈteɪk,名詞(n.)
moment,瞬間,very short or brief period of time,ˈmoʊmənt,名詞(n.)
money,お金；金銭；財産,Coins or notes we use to pay for things,ˈmʌni,名詞(n.)
month,月,one of 12 28-31 day periods in the year,mʌnθ,名詞(n.)
monthly,毎月に,Occurring about once every 4 weeks,ˈmʌnθli,副詞(adv)
more,より多くの， もっと,"Greater in amount, number, or size",mɔr,形容詞(adj.)
morning,朝；午前,early part of the day before 12 pm,ˈmɔrnɪŋ,名詞(n.)
most,最も多くの；たいていの，最も,nearly all of something,moʊst,代名詞(pron.)
mostly,主に；ほとんど,In large part; mainly or chiefly,ˈmoʊstli,副詞(adv)
mountain,山,"very high piece of land, higher than a hill",ˈmaʊntən,名詞(n.)
mouth,口，言う,part of the face used for eating and talking,maʊθ,名詞(n.)
move,動かす；移動する,to cause something to change to a different place,muv,動詞(verb)
movement,楽章,part of a piece of music,ˈmuvmənt,名詞(n.)
movie,映画,motion picture; film,ˈmuvi,名詞(n.)
much,たくさんの，非常に；だいたい,a lot; large amount; a high degree of,mʌʧ,代名詞(pron.)
music,音楽,sounds that are sung or played to give pleasure,ˈmjuzɪk,名詞(n.)
musical,ミュージカル,play or movie set to music,ˈmjuzɪkəl,名詞(n.)
musician,音楽家；ミュージシャン,"person who writes, sings, or plays music, as a job",mjuˈzɪʃən,名詞(n.)
must,〜しなければならない；〜に違いない,(used to say that something is required or necessary),mʌst,助動詞(aux.)
my,私の,Of mine; belonging to me,maɪ,限定詞(det.)
myself,私自身,the same person as did the action mentioned,ˌmaɪˈsɛlf,代名詞(pron.)
name,名前；評判；有名人，名前をつける,What something or someone is called,neɪm,名詞(n.)
nation,国家,area or region controlled by a government and army,ˈneɪʃən,名詞(n.)
national,国立；国の,Concerning a nation as a whole,ˈnæʃənəl,形容詞(adj.)
natural,自然の,Not made by humans; without human intervention,ˈnæʧərəl,形容詞(adj.)
naturally,自然に,Without the aid of someone or something,ˈnæʧərəli,副詞(adv)
nature,自然,"physical world, including plants, animals, rocks",ˈneɪʧər,名詞(n.)
near,近い，近くに,With a small distance between things,nɪr,形容詞(adj.)
nearby,近くの，近くに,Close to where you are,ˈnɪrˈbaɪ,形容詞(adj.)
nearly,ほとんど,not completely; almost,ˈnɪrli,副詞(adv)
necessarily,必ずしも,"In a way that is needed or required, or is unavoidable",ˌnɛsəˈsɛrəli,副詞(adv)
necessary,必要な,Needed or required; unavoidable,ˈnɛsəˌsɛri,形容詞(adj.)
neck,首,part of the body joining the head and the body,nɛk,名詞(n.)
need,必要がある,to be unable to manage without something; require,nid,動詞(verb)
neighbor,隣人；近所の人,"person who lives, or is near, you",ˈneɪbər,名詞(n.)
neighborhood,近所,area of a town or city that people live in,ˈneɪbərˌhʊd,名詞(n.)
never,決して〜ない；〜したことがない;,Not ever; not at any time,ˈnɛvər,副詞(adv)
newly,新しく,Very recently; just done or made,ˈnuli,副詞(adv)
next,次の,immediately after the previous one,nɛkst,形容詞(adj.)
nice,よい；すてきな；親切な；立派な；微細な,Good or enjoyable,naɪs,形容詞(adj.)
night,夜,time when sun does not shine,naɪt,名詞(n.)
nine,9,9,naɪn,数詞(num.)
nineteen,19,19,ˈnaɪnˈtin,数詞(num.)
ninety,90,90,ˈnaɪnti,数詞(num.)
nobody,誰も～ない,no person; no one; not any person,ˈnoʊˌbɑˌdi,代名詞(pron.)
noise,音；騒音； 雑音,Loud sounds that cause discomfort or annoyance,nɔɪz,名詞(n.)
none,何も～ない；誰も～ない,Not any of a group,nʌn,代名詞(pron.)
normal,標準の；正常な,standard or regular way of doing something,ˈnɔrməl,形容詞(adj.)
normally,普通は；正常に,In the manner that is usual or ordinary,ˈnɔrməli,副詞(adv)
nose,鼻,part of the face used for breathing and smelling,noʊz,名詞(n.)
not,～ではない,"(word indicating the negative of verbs, adjectives, etc)",nɑt,副詞(adv)
note,注意する；気づく,To make mention of something; to make a remark,noʊt,動詞(verb)
nothing,何も～ない,"Not anything, not a single thing",ˈnʌθɪŋ,代名詞(pron.)
notice,気づく,"To become aware by sight, touch, or hearing",ˈnoʊtəs,動詞(verb)
now,今；すぐに；これから；さて；いまや～だから,At the present time or moment,naʊ,副詞(adv)
number,数字；番号,"symbols such as 1, 2, 56, 793",ˈnʌmbər,名詞(n.)
nurse,看護師,person trained to care for sick or injured people,nɜrs,名詞(n.)
obvious,明らかな,Easily understood and clear; plain to see,ˈɑbviəs,形容詞(adj.)
obviously,明らかに,in a way that is obvious/easy to see or understand,ˈɑbviəsli,副詞(adv)
of,～の；～から；～について,Belonging to or connected with something,ʌv,前置詞(prep.)
off,～から離れて；休みの；停止して,not having on; not wearing,ɔf,形容詞(adj.)
offer,提供する；申し出る,to give the opportunity to accept something,ˈɔfər,動詞(verb)
office,事務所；オフィス,building of set of rooms used to do business or professional activities,ˈɔfəs,名詞(n.)
officer,役人；将校,person with an important position in an organization,ˈɔfəsər,名詞(n.)
often,"しばしば
","Many times, frequently, on many occasions",ˈɔfən,副詞(adv)
oil,油,"thick, black liquid in the ground used as fuel",ɔɪl,名詞(n.)
okay,"よし；わかった，まあまあ，承認する
",Yes; alright,ˌoʊˈkeɪ,感動詞(itj.)
old,古い；年とった；昔の；～歳の,"Having existed for a long time, not young or new",oʊld,形容詞(adj.)
once,一度；昔の，いったん～すると,One time; one instance,wʌns,副詞(adv)
one,一つ；人・もの,number 1,wʌn,数詞(num.)
only,唯一の；最良の，ただ～だけ；つい～，ただし；～だがしかし,just one; just that amount or thing; not more than,ˈoʊnli,副詞(adv)
onto,～の上に；～に向けられて,"Movement towards a certain direction, or into a certain area",ˈɑntu,前置詞(prep.)
open,開放された,Not closed or shut,ˈoʊpən,形容詞(adj.)
orange,オレンジ色,being a color that is a mixture of red and yellow,ˈɔrənʤ,形容詞(adj.)
order,注文，注文する,"to ask for something you want to buy, e.g. a meal",ˈɔrdər,動詞(verb)
other,もう一方の；別の；他の，もう一方の人・物；別の人・物；その他,(something) else; not the first (one),ˈʌðər,限定詞(det.)
ought,～するべきである；～するはずである,what is expected; should,ɔt,助動詞(aux.)
our,私たちの,Belonging to us,ˈaʊər,限定詞(det.)
ourselves,私たち自身,Used by a speaker to show that they and one or more people are affected by their action,aʊərˈsɛlvz,代名詞(pron.)
out,外に；外に出て；外れて,In a direction or movement away from the inside or center,aʊt,副詞(adv)
outside,外側，外側の，外側に,"area around or near something, such as a building",ˈaʊtˈsaɪd,名詞(n.)
over,～の上に,in the direction of; toward,ˈoʊvər,前置詞(prep.)
own,自身の；特有の,"yours, his, hers, etc.; not belonging to another",oʊn,限定詞(det.)
owner,持ち主；オーナー,person who owns or has something,ˈoʊnər,名詞(n.)
ownership,所有権,state of having a legal right to possess something,ˈoʊnərˌʃɪp,名詞(n.)
pack,包む；詰める,To put things in a suitcase to go on a trip,pæk,動詞(verb)
package,小包；包装；パッケージ,box or container items are placed in for mailing,ˈpækəʤ,名詞(n.)
page,ページ,One side of a sheet of paper,peɪʤ,名詞(n.)
pain,痛み,strong feeling of hurt or discomfort,peɪn,名詞(n.)
paint,ペンキ，ペンキを塗る；描く,to apply something; coat,peɪnt,動詞(verb)
pair,一組；ペア,"two of the same thing, e.g. socks",pɛr,名詞(n.)
paper,紙，紙で包む；壁紙を貼る,pages of a book are made from this,ˈpeɪpər,名詞(n.)
parent,親,person's/animal's mother or father,ˈpɛrənt,名詞(n.)
particular,特定の；特有の，項目；詳細,one specific (one),pərˈtɪkjələr,形容詞(adj.)
particularly,特に,specially; more than others,ˌpɑrˈtɪkjələrli,副詞(adv)
partly,一部分は；少しは,In part; not completely,ˈpɑrtli,副詞(adv)
party,パーティー,"social event often with food, drinks and dancing",ˈpɑrti,名詞(n.)
pass,通り過ぎる；渡す,To travel through or near a place,pæs,動詞(verb)
past,過ぎた；過去の，過ぎて,"time that existed before now, e.g. long ago",pæst,名詞(n.)
pay,払う；支払い,To give money for goods or work done,peɪ,動詞(verb)
payment,支払い,amount of money that is paid for something,ˈpeɪmənt,名詞(n.)
people,人々,Human beings in general; plural of person,ˈpipəl,名詞(n.)
perfect,完全な；完璧な,so good it/they cannot be improved,ˈpɜrˌfɪkt,形容詞(adj.)
perfectly,完璧に,In a faultless manner; without mistakes,ˈpɜrfəktli,副詞(adv)
perhaps,ひょっとすると；おそらく,"Possibly, but not certainly; maybe",pərˈhæps,副詞(adv)
person,人,"man, woman or child",ˈpɜrsən,名詞(n.)
personal,個人的な,done by or to a particular person; individual,ˈpɜrsɪnɪl,形容詞(adj.)
personally,個人的に；自ら,"by a specific person, and not by anyone else",ˈpɜrsənəli,副詞(adv)
phone,電話をかける,To talk to someone using a telephone,foʊn,動詞(verb)
photo,写真,short for photograph; a picture taken by a camera,ˈfoʊˌtoʊ,名詞(n.)
photograph,写真を撮る,To take a picture with a camera,ˈfoʊtəˌgræf,動詞(verb)
pick,選ぶ,to decide on a thing from various choices; select,pɪk,動詞(verb)
picture,絵；写真；映像,"painting, drawing or photograph on paper or screen",ˈpɪkʧər,名詞(n.)
piece,一かけら；破片,small part that of something larger,pis,名詞(n.)
place,置く；設置する,To put something in a certain location or position,pleɪs,動詞(verb)
plan,計画；段取り,detailed proposal/set of actions to do something,plæn,名詞(n.)
plant,植物,living thing with leaves and roots growing in soil,plænt,名詞(n.)
player,選手；プレーヤー,person who plays sports,ˈpleɪər,名詞(n.)
please,どうぞ；どうか；ぜひ,You say this when you politely ask people for things,pliz,副詞(adv)
plenty,たくさん,when there is not too little of something; a lot,ˈplɛnti,代名詞(pron.)
plus,正数,Having a value greater than zero,plʌs,前置詞(prep.)
police,警察,"People, often in uniforms, who solve crimes",pəˈlis,名詞(n.)
poor,貧しい,Without money; not rich,pur,形容詞(adj.)
pop,ポンとはじける；現れる；飛び出す,to cause something to open or burst suddenly,pɑp,動詞(verb)
position,位置,specific location where someone or something is,pəˈzɪʃən,名詞(n.)
possibility,可能性,something with a chance of happening or being true,ˌpɑsəˈbɪləti,名詞(n.)
possible,可能な；可能性がある,"Having a chance of happening, or being true",ˈpɑsəbəl,形容詞(adj.)
possibly,考えようによっては；～かも知れない,"may be true or likely, but is uncertain",ˈpɑsəbli,副詞(adv)
pot,鍋；容器,"deep, round container that is used for cooking",pɑt,名詞(n.)
pound,常用ポンド；16オンス，0.4536kgに相当,unit of weight equal to 16 ounces or 0.4536 kg,paʊnd,名詞(n.)
power,権力；支配権,legal or official right to perform certain actions,ˈpaʊər,名詞(n.)
powerful,強力な；効力のある,Having control or influence over,ˈpaʊərfəl,形容詞(adj.)
preparation,準備,act of making ready for a purpose or activity,ˌprɛpəˈreɪʃən,名詞(n.)
prepare,準備する,To make something ready for use,priˈpɛr,動詞(verb)
present,プレゼント；贈り物,gift,ˈprɛzənt,名詞(n.)
presentation,発表；プレゼンテーション,act of giving a formal talk about something,ˌprɛzənˈteɪʃən,名詞(n.)
press,押す；押しつける,To push something against something else,prɛs,動詞(verb)
pretty,かわいい；すてきな,Being attractive to the eye in a simple way,ˈprɪti,形容詞(adj.)
price,値段をつける,To determine or set the cost of something,praɪs,動詞(verb)
prison,刑務所,place the court puts criminals as punishment; jail,ˈprɪzən,名詞(n.)
prisoner,囚人,Someone kept in a prison as punishment for a crime,ˈprɪzənər,名詞(n.)
probability,可能性；確率,what the chances are that something will happen,ˌprɑbəˈbɪləti,名詞(n.)
probably,おそらく,(+adj or v) that is likely to happen or be true,ˈprɑbəbli,副詞(adv)
problem,問題,Something difficult to deal with or causes trouble,ˈprɑbləm,名詞(n.)
program,計画；予定,planned set of actions; a schematic system,ˈproʊˌgræm,名詞(n.)
promise,約束する,to say you will certainly do something,ˈprɑməs,動詞(verb)
proper,適切な,Correct according to social or moral rules,ˈprɑpər,形容詞(adj.)
properly,適切に,In an appropriate or correct manner,ˈprɑpərli,副詞(adv)
protect,保護する,To defend someone or something from harm or danger,prəˈtɛkt,動詞(verb)
protection,保護,Being kept from harm,prəˈtɛkʃən,名詞(n.)
public,公の；公的な,concerning society in general,ˈpʌblɪk,形容詞(adj.)
pull,引く；引っ張る,To hold something and move it toward you,pʊl,動詞(verb)
push,押しのける,To force something away from you,pʊʃ,動詞(verb)
put,置く,To move or place a thing in a particular position,pʊt,動詞(verb)
quarter,4分の1,One of four equal parts of something,ˈkwɔrtər,名詞(n.)
question,質問する；疑問に思う,To ask for or try to get information,ˈkwɛsʧən,動詞(verb)
quick,素早い；速い,Using very little time; moving far in little time,kwɪk,形容詞(adj.)
quickly,速く；すぐに,without taking a lot of time; fast,ˈkwɪkli,副詞(adv)
quiet,静かな,Not loud; making very little sound,ˈkwaɪət,形容詞(adj.)
quietly,静かに,In a quiet manner;  making little sound or fuss,ˈkwaɪətli,副詞(adv)
quite,全く；かなり,Very; In a complete or total manner,kwaɪt,副詞(adv)
race,競争，競争する,"contest between either people, animals or vehicles, to determine which is the fastest",reɪs,名詞(n.)
radio,ラジオ,system for sending and receiving signals through the air,ˈreɪdiˌoʊ,名詞(n.)
rain,雨,Drops of water that fall out of clouds in the sky,reɪn,名詞(n.)
raise,高める,"To increase a quantity, size, intensity or price",reɪz,動詞(verb)
rate,速度；割合；比率,speed or frequency of events over time,reɪt,名詞(n.)
rather,かなり；いくぶん；どちらかといえば；それどころか,Somewhat; fairly; not that much,ˈræðər,副詞(adv)
reach,伸びる；及ぶ；届く；到着する，伸ばすこと；届く範囲,To come to or arrive at a goal or destination,riʧ,動詞(verb)
reader,読者,person who reads written or printed materials,ˈridər,名詞(n.)
ready,用意のできた；～しがち；即座の,Prepared,ˈrɛdi,形容詞(adj.)
real,現実の；本物の,"Actually existing or happening, not imagined",riəl,形容詞(adj.)
reality,現実,"What is true, as opposed to what is imagined",ˌriˈæləˌti,名詞(n.)
realize,気づく；理解する,To become aware of or understand mentally,ˈriəˌlaɪz,動詞(verb)
really,本当に；実に,Very,ˈrɪli,副詞(adv)
reason,理由；原因；根拠,explanation for why something occurred or was done,ˈrizən,名詞(n.)
reasonable,理性的な；合理的,Fair and sensible; appropriate,ˈrizənəbəl,形容詞(adj.)
reasonably,理性的に；合理的に,In a fair and just manner,ˈrizənəbli,副詞(adv)
recent,最近の,happening or beginning not long ago,ˈrisənt,形容詞(adj.)
recently,最近；近年,just a while ago; not long ago,ˈrisəntli,副詞(adv)
record,レコード,Being the highest or most extreme level achieved in an area,ˈrɛkərd,名詞(n.)
red,赤；血の色のような,being the color of blood,rɛd,形容詞(adj.)
relate,関係づける；関連する,To understand or sympathize with someone or something,rɪˈleɪt,動詞(verb)
relation,～に関する,"manner in which people, groups or countries behave toward one another",riˈleɪʃən,名詞(n.)
relationship,関係,"manner in which people, groups or countries behave toward one another",riˈleɪʃənˌʃɪp,名詞(n.)
remember,思い出す,To bring a previous image or idea to your mind,rɪˈmɛmbər,動詞(verb)
rent,家賃，賃借りする,To pay money for the use of something,rɛnt,動詞(verb)
reply,答える，返信,Answer someone's question,rɪˈplaɪ,名詞(n.)
report,報告書； レポート,account of something which gives the necessary facts and information,rɪˈpɔrt,名詞(n.)
reporter,報告書；記者；レポーター,"Someone whose job is to research, gather, write, and report news for a newspaper, magazine, television or radio station",rɪˈpɔrtər,名詞(n.)
responsibility,責任,state of being dependable or reliable,riˌspɑnsəˈbɪləti,名詞(n.)
responsible,責任がある；信頼できる,Having the duty of dealing with something; being the cause or creator of something; behaving in a mature and reasonable manner,riˈspɑnsəbəl,形容詞(adj.)
rest,休憩,"time when one relaxes, sleeps, or is inactive",rɛst,名詞(n.)
rich,金持ち；豊かな,"Having a lot of money, possessions, or resources",rɪʧ,形容詞(adj.)
rid,除去する；解放する,To no longer be wanted so you throw it away,rɪd,動詞(verb)
ride,乗る，乗車,To sit on and control a horse or vehicle,raɪd,動詞(verb)
right,右の；右に,on side where the hand that most people write with,raɪt,形容詞(adj.)
ring,ベルやアラームの音が鳴る；響く,"To produce a sound from a bell, alarm or telephone",rɪŋ,動詞(verb)
rise,上がる；起立する，上昇,To move from a lower position to a higher one,raɪz,動詞(verb)
river,川,flowing water that runs from mountains to the sea,ˈrɪvər,名詞(n.)
road,道路,long piece of hard land for cars to travel on,roʊd,名詞(n.)
rock,岩；石,"big stone; hard, solid substance forming mountains",rɑk,名詞(n.)
roll,転がる,To move along a surface by turning many times,roʊl,動詞(verb)
room,部屋,"part of building enclosed by walls, e.g. kitchen",rum,名詞(n.)
rough,大ざっぱな；おおよその,Having an uneven or not smooth surface,rʌf,形容詞(adj.)
roughly,粗雑に；手荒く,In an inexact or imprecise manner,ˈrʌfli,副詞(adv)
round,丸い，円形,being in the shape of a circle or ball,raʊnd,形容詞(adj.)
rule,規則；ルール；習慣，決定する,statement that says how things should be,rul,名詞(n.)
run,走る,To move your legs faster than walking,rʌn,動詞(verb)
sad,悲しい,feeling unhappy; wishing something hadn't happened,sæd,形容詞(adj.)
safe,安全な,being out of danger,seɪf,形容詞(adj.)
safety,安全,state of being free from harm or danger,ˈseɪfti,名詞(n.)
sail,帆，航行する,To travel on water in a ship or boat,seɪl,動詞(verb)
same,同じ,Identical; not different,seɪm,限定詞(det.)
saturday,土曜日,sixth day of the week; the day after Friday,ˈsætərdi,名詞(n.)
save,救う,To rescue someone or something from a bad situation,seɪv,動詞(verb)
say,言う；言葉を使う,To use words to tell your message,seɪ,動詞(verb)
scare,怖がらせる,to make someone feel frightened or worried,skɛr,動詞(verb)
science,科学,Knowledge of the physical world based on facts,ˈsaɪəns,名詞(n.)
scientific,科学的,Concerning science,ˌsaɪənˈtɪfɪk,形容詞(adj.)
scientist,科学者,person who is trained in a science,ˈsaɪəntɪst,名詞(n.)
sea,海,place with a large amount of salt water,si,名詞(n.)
seat,座席，着席させる,To show someone to a place that can sit down,sit,動詞(verb)
second,第二の,2nd; the one following first,ˈsɛkənd,形容詞(adj.)
secondary,二番目の；二次的な,Being of less importance than something else,ˈsɛkənˌdɛri,形容詞(adj.)
secondly,第二に,Concerning a point or reason after the first,ˈsɛkəndli,副詞(adv)
secure,安全な，確保する；固定する,"To protect something from danger or harm, keep things safe",sɪˈkjʊr,動詞(verb)
security,安全,"Things done to protect people, buildings, a country, etc. from harm",sɪˈkjʊrəti,名詞(n.)
see,見る,To use your eyes to look at something,si,動詞(verb)
seem,～のように見える；思われる,To appear to be something,sim,動詞(verb)
self,自己,person that someone really is,sɛlf,名詞(n.)
sell,売る,To exchange something for money,sɛl,動詞(verb)
send,送る；送信する,To cause mail or package to go to another place,sɛnd,動詞(verb)
sense,感覚，感じる；感知する,"To perceive using sight, sound, taste touch or hearing",sɛns,動詞(verb)
serious,深刻な；真剣な；まじめな,Needing thought or concentration; important; in a sober manner,ˈsɪriəs,形容詞(adj.)
seriously,真剣に,In a dangerous or negative manner,ˈsɪriəsli,副詞(adv)
servant,使用人,"person who works in another person's house and usually is responsible for cooking, cleaning and other tasks",ˈsɜrvənt,名詞(n.)
serve,供給する；役立つ,to give or provide something to another person,sɜrv,動詞(verb)
server,サーバー,person whose occupation is to serve at table (as in a restaurant) (court games) the player who serves to start a point (computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network; utensil used in serving food or drink,ˈsɜrvər,名詞(n.)
service,修理する；点検する,To maintain a piece of machinery so it runs well,ˈsɜrvəs,動詞(verb)
set,セット；一揃え,"complete group of something, e.g. a chess set",sɛt,名詞(n.)
settle,定住する；落ち着く,To move to a new environment and become accustomed to it,ˈsɛtəl,動詞(verb)
seven,七,number 7,ˈsɛvən,数詞(num.)
seventeen,十七,17,ˈsɛvənˈtin,数詞(num.)
seventy,七十,70,ˈsɛvənti,数詞(num.)
several,いくつかの；それぞれの,More than two but not many,ˈsɛvrəl,限定詞(det.)
sex,性別,state of being male or female mostly biological,sɛks,名詞(n.)
sexual,性的な,Concerning or connected with the physical activity that can produce babies,ˈsɛkʃuəl,形容詞(adj.)
shake,振る；震える；動揺させる，振動；震え,to move something violently back and forth or up and down,ʃeɪk,動詞(verb)
shall,～すべきである；当然～だろう；～しなければならない；～しましょうか,"Expressing the future tense, to expect to happen",ʃæl,助動詞(aux.)
shape,形，形作る,"the outer form of something, what it looks like",ʃeɪp,名詞(n.)
share,株；株券,"part of a company you own, shown by a certificate",ʃɛr,名詞(n.)
she,彼女,female person or animal mentioned before,ʃi,代名詞(pron.)
ship,船,large boat,ʃɪp,名詞(n.)
shirt,シャツ,"light garment for upper body, with sleeves",ʃɜrt,名詞(n.)
shoe,靴,outer covering for the foot made from leather,ʃu,名詞(n.)
shop,店；商店,place which sells things,ʃɑp,名詞(n.)
short,短い；背が低い；不足して,small distance from one end to the other,ʃɔrt,名詞(n.)
shot,（ボールをゴールに）ける；投げ入れる；シュートする,To kick or throw a ball at a goal,ʃɑt,動詞(verb)
should,～べきである,Used to indicate what is proper or reasonable,ʃʊd,助動詞(aux.)
shoulder,肩,part of the body where an arm attaches or joins,ˈʃoʊldər,名詞(n.)
shout,叫ぶ,To speak very loudly because you want to get their attention,ʃaʊt,動詞(verb)
shut,閉じる；閉める，閉じた,To close something,ʃʌt,動詞(verb)
sick,病気の,Having a physical or mental illness,sɪk,形容詞(adj.)
side,側面,straight edge of an object,saɪd,名詞(n.)
sight,見ること；視力；視野,sense that allows one to see and take in information through your eyes,saɪt,名詞(n.)
sign,署名する；合図する；契約する,To write your signature on formal documents such as contracts,saɪn,動詞(verb)
silly,ばかな,Lacking seriousness or foolish,ˈsɪli,副詞(adv)
simple,簡単な；単純な,Not hard to understand or do; not complex,ˈsɪmpəl,形容詞(adj.)
simply,簡単に；単純に,In an easy or clear manner,ˈsɪmpli,副詞(adv)
since,～以来；～なので,from the time in the past that,sɪns,前置詞(prep.)
sing,歌う,To make musical sounds with your voice,sɪŋ,動詞(verb)
singer,歌手,"person who sings, often as a profession",ˈsɪŋər,名詞(n.)
single,たった一つの,"Only, merely",ˈsɪŋgəl,形容詞(adj.)
sir,あなたさま；～殿,form of address to a man you respect/do not know,sɜr,名詞(n.)
sister,姉妹,female you share a parent with,ˈsɪstər,名詞(n.)
sit,座る,To be in a resting position on a chair,sɪt,動詞(verb)
situate,位置付ける,To place someone or something in a particular place or position,ˈsɪʧuˌeɪt,動詞(verb)
situation,状況,"condition, location or position",ˌsɪʧuˈeɪʃən,名詞(n.)
six,六,6,sɪks,数詞(num.)
sixteen,十六,16,sɪkˈstin,数詞(num.)
sixty,六十,60,ˈsɪksti,数詞(num.)
size,大きさ；サイズ,How big or small a thing is,saɪz,名詞(n.)
skin,皮膚,outer layer of an animal or human,skɪn,名詞(n.)
sky,空,the place where we see clouds above us,skaɪ,名詞(n.)
sleep,眠る,"To rest your body in bed, as at night time",slip,動詞(verb)
slight,わずかな，軽視,Very small,slaɪt,形容詞(adj.)
slightly,わずかに,Concerning a small quantity or degree,ˈslaɪtli,副詞(adv)
slip,滑る，滑ること,To slide out of position or fall on the ground by accident,slɪp,動詞(verb)
slow,遅い；遅くなる,"moving or happening without speed; not fast
",sloʊ,形容詞(adj.)
slowly,ゆっくりと,in an unhurried or not speedy manner,ˈsloʊli,副詞(adv)
small,小さい,Little in size; not big,smɔl,形容詞(adj.)
smell,におい，においを嗅ぐ；においがする,To use the nose to sense something,smɛl,動詞(verb)
smile,ほほえむ，笑顔,To put up the corners of mouth to show happiness,smaɪl,動詞(verb)
smoke,喫煙,To breathe in through a cigarette and then blow it out,smoʊk,動詞(verb)
snow,雪，雪が降る,icy material falling from the clouds,snoʊ,名詞(n.)
soft,やわらかい；穏やかな,"Easy to press, bend or cut; not hard or firm",sɑft,形容詞(adj.)
some,いくらかの；ある；およそ,Used to refer to an unspecified amount or number,sʌm,限定詞(det.)
somebody,誰か,Person who is not known or named,ˈsʌmˌbɑdi,代名詞(pron.)
somehow,どういうわけか；なんらかの方法で,In a way that is not known or certain,ˈsʌmˌhaʊ,副詞(adv)
someone,誰か,person who is not known or named,ˈsʌmˌwʌn,代名詞(pron.)
something,何か,thing that is not yet known or named,ˈsʌmθɪŋ,代名詞(pron.)
sometimes,ときどき,only at certain times; occasionally,səmˈtaɪmz,副詞(adv)
somewhere,どこかに,at or to an unknown or unnamed place,ˈsʌmˌwɛr,副詞(adv)
son,息子,male child; friendly way of addressing a boy,sʌn,名詞(n.)
song,歌,Some music with words in verse,sɔŋ,名詞(n.)
soon,もうすぐ；早く,At a time not long from now,sun,副詞(adv)
sorry,すまないと思う；後悔している；気の毒に思う,what you say to admit you were wrong,ˈsɑri,感動詞(itj.)
sort,種類,group or class of similar things or people,sɔrt,名詞(n.)
sound,音；音響,Waves traveling in air or water that can be heard,saʊnd,名詞(n.)
south,南；南の；南へ,direction that is the opposite of north,saʊθ,形容詞(adj.)
space,空間；間隔,empty area with nothing in it,speɪs,名詞(n.)
speak,話す,"To use words to tell information, express thoughts",spik,動詞(verb)
speaker,話す人；演説者,person who makes a speech before a group,ˈspikər,名詞(n.)
special,特別な,Different from what is usual; better or greater than normal,ˈspɛʃəl,形容詞(adj.)
specialist,専門家,person who works in one specific area of a field or profession,ˈspɛʃələst,名詞(n.)
specialize,専門にする,To focus on one area of a field or profession,ˈspɛʃəˌlaɪz,動詞(verb)
spend,使う；過ごす,To use money to pay for something,spɛnd,動詞(verb)
sport,スポーツ,game or physical exercise with rules,spɔrt,名詞(n.)
spot,見つける,see someone by chance,spɑt,形容詞(adj.)
spring,春,time of year when plants start growing after winter,sprɪŋ,名詞(n.)
square,正方形；四角,shape with 4 equal length sides and 4 equal angles,skwɛr,名詞(n.)
stage,舞台,place where actors or musician perform for others,steɪʤ,名詞(n.)
stand,立つ,to be upright; not be sitting or lying down,stænd,動詞(verb)
